date,high temp,low temp,solarRad
2019-01-01 23:59:56,59.7,44.4,33.9
2019-01-02 23:59:56,61.9,44.4,34.0
2019-01-03 23:59:56,65.5,46.0,35.1
2019-01-04 23:59:56,64.2,47.5,34.8
2019-01-05 23:59:56,58.3,50.2,4.4
2019-01-06 23:59:56,60.4,48.0,30.9
2019-01-07 23:59:57,58.1,52.5,6.9
2019-01-08 23:59:57,69.6,52.7,18.8
2019-01-09 23:59:58,64.4,51.1,32.8
2019-01-10 23:59:57,62.6,51.3,28.7
2019-01-11 23:59:58,63.0,52.9,7.0
2019-01-12 23:59:24,59.5,51.4,6.4
2019-01-13 23:59:24,61.2,48.9,29.6
2019-01-14 23:59:24,57.6,52.3,0.0
2019-01-15 23:59:24,59.0,52.2,6.8
2019-01-16 23:59:25,60.8,54.5,4.1
2019-01-17 23:59:24,62.1,55.2,4.3
2019-01-18 23:59:24,64.4,53.6,31.4
2019-01-19 23:59:24,73.0,52.5,41.4
2019-01-20 23:59:25,70.2,57.2,25.9
2019-01-21 23:59:26,63.0,52.5,42.1
2019-01-22 23:59:26,67.6,53.2,44.4
2019-01-23 23:59:26,66.2,51.6,44.0
2019-01-24 23:59:25,73.8,49.8,45.7
2019-01-25 23:59:26,73.4,54.7,44.3
2019-01-26 23:59:26,73.6,56.3,43.1
2019-01-27 23:59:26,73.0,56.7,40.1
2019-01-28 23:59:27,69.6,54.3,30.9
2019-01-29 23:59:26,68.2,55.2,27.8
2019-01-30 23:59:27,65.3,54.7,28.3
2019-01-31 23:59:27,59.0,53.1,5.4
2019-02-01 23:59:28,61.9,50.7,18.6
2019-02-02 23:59:28,59.0,53.4,6.5
2019-02-03 23:59:28,58.6,52.9,8.5
2019-02-04 23:59:28,58.5,53.6,7.4
2019-02-05 23:59:28,55.8,46.4,8.3
2019-02-06 23:59:28,56.1,43.9,42.9
2019-02-07 23:59:28,60.8,43.2,77.8
2019-02-08 23:59:29,61.9,46.2,76.8
2019-02-09 23:59:28,59.2,47.8,76.1
2019-02-10 23:59:29,56.1,48.4,44.8
2019-02-11 23:59:29,60.1,46.0,75.9
2019-02-12 23:59:29,66.7,46.8,51.4
2019-02-13 23:59:30,58.5,53.1,4.8
2019-02-14 23:59:29,62.1,52.7,8.7
2019-02-15 23:59:29,60.3,49.1,84.5
2019-02-16 23:59:30,60.3,44.4,70.3
2019-02-17 23:59:29,56.8,45.5,60.1
2019-02-18 23:59:30,58.8,45.5,103.7
2019-02-19 23:59:30,60.1,46.9,101.1
2019-02-20 23:59:31,58.5,44.2,12.3
2019-02-21 23:59:31,55.8,44.8,35.3
2019-02-22 23:59:31,61.9,47.3,30.0
2019-02-23 23:59:31,61.7,43.7,13.3
2019-02-24 23:59:57,64.6,47.1,9.7
2019-02-25 23:59:57,65.3,49.6,7.7
2019-02-26 23:59:57,63.7,48.4,8.4
2019-02-27 23:59:58,64.0,51.4,9.5
2019-02-28 23:59:59,63.7,56.8,13.3
2019-03-01 23:59:58,64.2,56.8,7.5
2019-03-02 23:59:58,60.8,55.8,4.3
2019-03-03 23:59:58,62.4,55.8,10.8
2019-03-04 23:59:59,63.3,52.5,16.0
2019-03-05 23:59:59,63.5,51.1,11.0
2019-03-06 23:59:00,60.1,55.0,2.6
2019-03-07 23:59:00,61.9,51.3,24.2
2019-03-08 23:59:00,59.9,50.0,51.2
2019-03-10 23:59:00,61.3,49.3,7.7
2019-03-10 01:59:00,51.1,49.8,0.0
2019-03-10 01:59:00,51.1,49.8,0.0
2019-03-11 02:04:00,53.1,52.5,0.0
2019-03-11 23:59:00,64.9,49.3,6.4
2019-03-12 23:59:00,70.0,58.3,202.2
2019-03-13 23:59:01,68.9,55.4,233.5
2019-03-14 23:59:01,70.3,54.5,212.6
2019-03-15 23:59:01,74.1,53.8,221.4
2019-03-16 23:59:01,79.0,58.5,262.3
2019-03-17 23:59:01,81.1,59.5,227.0
2019-03-18 23:59:02,73.0,59.2,268.8
2019-03-19 23:59:01,65.8,54.9,143.1
2019-03-20 23:59:02,65.7,55.4,36.1
2019-03-21 23:59:41,63.3,51.4,296.1
2019-03-22 23:59:42,64.8,50.0,268.5
2019-03-23 23:59:42,66.2,54.9,196.9
2019-03-24 23:59:42,67.8,52.3,230.0
2019-03-25 23:59:42,69.3,52.9,149.0
2019-03-26 23:59:42,69.6,51.8,49.9
2019-03-27 23:59:41,68.0,54.9,121.8
2019-03-28 23:59:42,66.9,54.7,28.0
2019-03-29 23:59:43,69.6,54.7,63.4
2019-03-30 23:59:42,76.5,61.0,93.8
2019-03-31 23:59:43,80.6,63.1,56.5
2019-04-01 23:59:43,78.6,64.8,28.3
2019-04-02 23:59:44,69.1,60.4,61.3
2019-04-03 23:59:43,67.5,58.3,73.0
2019-04-04 23:59:44,66.2,56.1,8.3
2019-04-05 23:59:44,66.4,54.1,31.1
2019-04-06 23:59:44,68.4,55.6,59.3
2019-04-07 23:59:44,72.1,57.0,25.1
2019-04-08 23:59:44,78.6,59.9,38.0
2019-04-09 23:59:45,76.6,62.2,20.5
2019-04-10 23:59:45,73.6,61.2,9.1
2019-04-11 23:59:45,71.8,62.2,17.0
2019-04-12 23:59:28,73.8,61.2,4.6
2019-04-13 23:59:10,73.6,56.1,3.1
2019-04-14 23:59:11,68.0,54.5,3.8
2019-04-15 23:59:11,64.2,54.7,4.2
2019-04-16 23:59:10,65.7,57.0,8.4
2019-04-17 23:59:11,69.8,54.9,22.7
2019-04-18 23:59:12,73.4,56.1,26.4
2019-04-19 23:59:11,66.7,59.0,8.3
2019-04-20 23:59:12,66.0,57.6,9.4
2019-04-21 23:59:12,67.1,56.1,4.7
2019-04-22 23:59:12,67.1,54.1,4.9
2019-04-23 23:59:12,69.4,56.8,11.5
2019-04-24 23:59:12,71.6,59.4,10.0
2019-04-25 23:59:13,70.7,59.9,5.7
2019-04-26 23:59:13,66.9,59.7,8.2
2019-04-27 23:59:13,66.4,59.2,6.1
2019-04-28 23:59:14,65.7,60.3,5.8
2019-04-29 23:59:14,66.7,57.4,7.5
2019-04-30 23:59:14,67.3,58.3,7.7
2019-05-01 23:59:14,67.6,53.8,4.5
2019-05-02 23:59:14,67.5,55.9,6.0
2019-05-03 23:59:14,69.8,57.4,2.9
2019-05-04 23:59:14,69.8,60.4,4.8
2019-05-05 23:59:15,68.2,60.3,5.0
2019-05-06 23:59:15,68.5,59.2,7.4
2019-05-07 23:59:15,66.9,58.8,7.4
2019-05-08 23:59:10,65.7,61.3,4.4
2019-05-09 23:59:10,65.7,60.8,4.2
2019-05-10 23:59:11,66.4,60.4,5.6
2019-05-11 23:59:10,71.4,58.5,53.0
2019-05-12 23:59:11,71.4,59.7,4.8
2019-05-13 23:59:11,69.4,63.7,4.9
2019-05-14 23:59:11,71.4,63.5,5.3
2019-05-15 23:59:11,67.5,62.8,7.0
2019-05-16 23:59:11,67.3,59.5,206.9
2019-05-17 23:59:11,70.2,54.9,80.3
2019-05-18 23:59:12,69.8,56.1,24.6
2019-05-19 23:59:12,63.0,55.0,6.4
2019-05-20 23:59:12,69.1,55.0,7.4
2019-05-21 23:59:13,67.1,59.0,150.1
2019-05-22 23:59:13,68.5,57.0,93.1
2019-05-23 23:59:13,63.5,56.8,4.9
2019-05-24 23:59:13,69.3,54.7,88.2
2019-05-25 23:59:14,68.7,58.6,110.2
2019-05-26 23:59:14,61.2,55.8,5.4
2019-05-27 23:59:13,66.6,51.1,245.5
2019-05-28 23:59:14,68.7,54.9,292.5
2019-05-29 23:59:14,70.7,56.8,302.1
2019-05-30 23:59:15,70.0,59.5,240.3
2019-05-31 23:59:15,69.1,60.6,6.0
2019-06-01 23:59:15,67.5,61.3,5.6
2019-06-02 23:59:01,68.9,61.2,6.2
2019-06-03 23:59:01,69.6,61.5,5.4
2019-06-04 23:59:02,70.2,61.7,5.6
2019-06-05 23:59:02,71.4,63.7,4.8
2019-06-06 23:59:02,71.4,63.9,105.6
2019-06-07 23:59:02,71.2,63.9,6.6
2019-06-08 23:59:02,72.9,64.0,55.8
2019-06-09 23:59:03,74.7,63.0,85.3
2019-06-10 23:59:03,81.5,63.3,91.5
2019-06-11 23:59:03,79.2,66.6,27.8
2019-06-12 23:59:03,74.8,66.0,109.3
2019-06-13 23:59:04,70.9,64.4,6.0
2019-06-14 23:59:04,71.2,63.9,5.6
2019-06-15 23:59:04,72.9,64.8,5.1
2019-06-16 23:59:04,71.4,64.2,4.7
2019-06-17 23:59:04,71.4,64.2,5.8
2019-06-18 23:59:05,70.3,64.8,6.2
2019-06-19 23:59:05,73.4,65.1,4.0
2019-06-20 23:59:05,72.7,65.3,5.9
2019-06-21 23:59:06,70.7,64.2,5.0
2019-06-22 23:59:06,73.4,64.8,11.7
2019-06-23 23:59:06,72.5,63.0,33.3
2019-06-24 23:59:06,70.0,64.0,5.1
2019-06-25 23:59:07,68.4,64.9,3.4
2019-06-26 23:59:06,71.4,64.6,6.0
2019-06-27 23:59:07,73.2,62.4,29.6
2019-06-28 23:59:07,74.5,65.5,39.0
2019-06-29 23:59:07,77.2,60.8,88.8
2019-06-30 23:59:42,78.6,62.6,100.2
2019-07-01 23:59:43,77.2,62.8,29.2
2019-07-02 23:59:42,75.7,63.5,29.7
2019-07-03 23:59:43,74.8,65.1,17.1
2019-07-04 23:59:43,74.1,66.2,5.4
2019-07-05 23:59:44,73.9,62.6,3.4
2019-07-06 23:59:43,73.4,64.9,3.8
2019-07-07 23:59:44,72.5,65.7,4.5
2019-07-08 23:59:44,73.2,65.8,3.6
2019-07-09 23:59:44,75.0,65.3,136.4
2019-07-10 23:59:45,74.1,63.5,59.5
2019-07-11 23:59:44,75.2,65.1,43.0
2019-07-12 23:59:45,75.7,64.9,64.8
2019-07-13 23:59:45,75.9,64.8,22.1
2019-07-14 23:59:45,75.7,67.6,4.1
2019-07-15 23:59:45,74.1,65.7,12.2
2019-07-16 23:59:30,78.6,64.4,8.8
2019-07-17 23:59:31,75.7,68.4,1.9
2019-07-18 23:59:31,75.7,67.8,3.7
2019-07-19 23:59:32,75.0,65.1,0.8
2019-07-20 23:59:32,75.4,67.3,0.8
2019-07-21 23:59:32,75.7,66.2,3.3
2019-07-22 23:59:32,77.9,65.1,1.5
2019-07-23 23:59:33,82.8,69.8,3.0
2019-07-24 23:59:32,84.4,70.3,4.0
2019-07-25 23:59:33,85.3,72.9,29.0
2019-07-26 23:59:33,84.2,70.0,46.4
2019-07-27 23:59:34,83.1,68.9,73.9
2019-07-28 23:59:34,75.7,68.2,70.8
2019-07-29 23:59:34,78.6,68.0,77.0
2019-07-30 23:59:34,78.6,67.5,125.1
2019-07-31 23:59:35,78.6,66.9,107.7
2019-08-01 23:59:17,78.6,67.6,73.8
2019-08-02 23:59:17,79.7,64.9,64.3
2019-08-03 23:59:18,81.3,64.8,98.9
2019-08-04 23:59:18,81.9,65.3,65.1
2019-08-05 23:59:18,75.7,64.8,61.1
2019-08-06 23:59:18,80.6,66.2,103.1
2019-08-07 23:59:19,83.7,66.6,61.1
2019-08-08 23:59:18,73.8,65.7,68.7
2019-08-09 23:59:52,84.9,63.1,56.8
2019-08-10 23:59:51,78.6,63.7,45.2
2019-08-11 23:59:52,84.2,67.6,52.8
2019-08-12 23:59:52,77.2,66.4,47.0
2019-08-13 23:59:53,83.7,66.9,123.8
2019-08-14 23:59:52,85.6,65.8,224.5
2019-08-15 23:59:53,78.6,65.3,258.0
2019-08-16 23:59:53,75.7,66.0,47.8
2019-08-17 23:59:54,75.7,66.7,143.6
2019-08-18 23:59:53,75.7,68.2,9.4
2019-08-19 23:59:54,75.7,66.9,117.7
2019-08-20 23:59:54,79.7,64.4,147.4
2019-08-21 23:59:54,82.8,64.0,350.3
2019-08-22 23:59:55,78.6,66.4,293.2
2019-08-23 23:59:55,79.0,68.5,347.0
2019-08-24 23:59:55,82.2,66.4,441.4
2019-08-25 23:59:55,82.8,66.6,425.7
2019-08-26 23:59:56,83.1,69.4,422.1
2019-08-27 23:59:56,82.2,68.7,423.4
2019-08-28 23:59:56,81.7,71.2,368.6
2019-08-29 23:59:56,82.2,69.3,419.0
2019-08-30 23:59:57,84.9,69.6,430.8
2019-08-31 23:59:57,81.9,67.5,411.9
2019-09-01 23:59:35,79.2,67.3,385.7
2019-09-02 23:59:35,87.6,70.3,372.4
2019-09-03 23:59:36,86.7,71.1,400.9
2019-09-04 23:59:36,86.9,70.3,411.6
2019-09-05 23:59:35,87.3,72.0,377.3
2019-09-06 23:59:36,86.2,71.1,400.3
2019-09-07 23:59:36,84.7,69.1,363.8
2019-09-08 23:59:37,77.2,64.4,341.3
2019-09-09 23:59:36,78.6,64.8,304.0
2019-09-10 23:59:37,75.7,68.4,228.7
2019-09-11 23:59:37,78.6,65.7,212.8
2019-09-12 23:59:38,79.5,65.3,182.6
2019-09-13 23:59:37,84.2,64.6,183.6
2019-09-14 23:59:38,86.4,68.2,104.6
2019-09-15 23:59:38,78.6,66.6,28.6
2019-09-16 23:59:38,79.2,66.0,46.7
2019-09-17 23:59:38,78.8,65.8,68.8
2019-09-18 23:59:39,78.6,65.5,51.4
2019-09-19 23:59:39,75.7,67.5,6.2
2019-09-20 23:59:40,75.7,63.7,25.4
2019-09-21 23:59:39,81.0,64.6,104.4
2019-09-22 23:59:06,84.0,64.8,28.4
2019-09-23 23:59:06,75.7,65.5,9.9
2019-09-24 23:59:07,80.6,62.8,56.6
2019-09-25 23:59:06,81.3,67.5,11.8
2019-09-26 23:59:10,75.4,70.2,8.9
2019-09-27 23:59:11,75.0,68.5,9.5
2019-09-28 23:59:11,70.5,65.5,11.6
2019-09-29 23:59:11,72.3,58.5,5.9
2019-09-30 23:59:12,71.6,56.8,5.8
2019-10-01 23:59:12,73.2,58.1,7.3
2019-10-02 23:59:11,75.7,57.9,5.5
2019-10-03 23:59:13,74.1,59.0,5.2
2019-10-04 23:59:12,73.9,59.0,5.8
2019-10-05 23:59:13,77.2,57.7,5.5
2019-10-06 23:59:13,78.6,57.7,5.5
2019-10-07 23:59:13,79.2,58.5,7.3
2019-10-08 23:59:13,75.2,59.0,16.4
2019-10-09 23:59:13,72.9,62.6,18.3
2019-10-10 23:59:14,75.7,61.9,24.9
2019-10-11 23:59:13,84.2,60.3,19.9
2019-10-12 23:59:14,79.0,62.8,61.1
2019-10-13 23:59:14,73.0,56.5,69.7
2019-10-14 23:59:14,72.3,61.9,33.3
2019-10-15 23:59:15,75.7,59.2,34.5
2019-10-16 23:59:14,81.9,62.4,21.8
2019-10-17 23:59:15,74.5,62.2,7.2
2019-10-18 23:59:15,73.4,62.8,15.8
2019-10-19 23:59:16,73.4,57.9,16.7
2019-10-20 23:59:16,86.7,61.5,33.0
2019-10-21 23:59:16,88.0,70.3,10.8
2019-10-22 23:59:16,87.4,68.2,10.5
2019-10-23 23:59:16,85.8,66.0,18.2
2019-10-26 23:59:23,84.2,67.1,21.9
2019-10-27 23:59:24,71.6,61.2,39.5
2019-10-28 23:59:24,73.9,59.5,60.9
2019-10-29 23:59:24,70.5,55.2,41.6
2019-10-30 23:59:25,72.5,56.1,36.8
2019-10-31 23:59:25,77.2,56.5,11.2
2019-11-01 23:59:25,79.0,59.5,6.6
2019-11-02 23:59:25,76.5,54.9,6.4
2019-11-03 23:59:25,74.1,54.9,20.6
2019-11-04 23:59:25,74.1,52.9,29.4
2019-11-05 23:59:26,73.8,53.1,39.4
2019-11-06 23:59:26,67.8,55.4,6.1
2019-11-07 23:59:26,70.3,59.4,12.6
2019-11-08 23:44:26,78.6,53.8,29.5
2019-11-09 23:59:44,83.7,63.5,37.1
2019-11-10 23:59:45,71.1,56.8,26.1
2019-11-11 23:59:45,70.0,62.1,21.9
2019-11-12 23:59:45,70.3,57.7,24.5
2019-11-13 23:59:46,68.0,59.0,17.6
2019-11-14 23:59:46,68.9,57.9,26.5
2019-11-15 23:59:47,68.9,55.2,22.8
2019-11-16 23:59:46,73.0,53.2,33.6
2019-11-17 23:59:46,83.8,56.8,43.8
2019-11-18 23:59:47,84.9,65.7,44.2
2019-11-19 23:59:47,74.8,62.1,36.4
2019-11-20 23:59:47,63.9,55.9,20.4
2019-11-21 23:59:48,66.2,52.3,32.1
2019-11-22 23:59:47,69.3,54.0,34.3
2019-11-23 23:59:48,72.1,56.1,38.2
2019-11-24 23:59:48,73.4,52.5,37.2
2019-11-25 23:59:49,68.9,52.0,36.0
2019-11-26 23:59:48,66.7,53.4,33.1
2019-11-27 23:59:49,56.3,48.9,16.1
2019-11-28 23:59:49,51.6,46.8,18.3
2019-11-29 23:59:49,57.7,42.3,31.2
2019-11-30 23:59:49,57.9,45.5,24.7
2019-12-01 23:59:50,62.8,51.4,11.8
2019-12-02 23:59:50,68.2,51.8,28.3
2019-12-03 23:59:50,65.7,52.9,8.6
2019-12-04 23:59:50,62.6,56.1,13.1
2019-12-05 23:59:49,66.6,54.0,29.3
2019-12-06 23:59:50,67.3,56.1,29.7
2019-12-07 23:59:50,65.5,60.6,12.6
2019-12-08 23:59:50,64.6,54.9,20.4
2019-12-09 23:59:50,67.1,50.0,30.7
2019-12-10 23:59:51,66.7,51.3,12.0
2019-12-11 23:59:51,64.6,49.6,29.4
2019-12-12 23:59:51,68.9,52.5,23.7
2019-12-13 23:59:51,66.6,54.1,28.0
2019-12-14 23:59:51,65.5,56.1,16.5
2019-12-15 23:59:52,62.2,54.3,33.6
2019-12-16 23:59:52,67.3,51.6,32.1
2019-12-17 23:59:53,67.5,46.2,25.8
2019-12-18 23:59:52,63.3,49.1,21.0
2019-12-19 23:59:53,64.0,45.7,27.8
2019-12-20 23:59:52,73.4,54.9,32.5
2019-12-21 23:59:53,71.6,57.2,12.0
2019-12-22 23:59:53,66.4,51.8,17.5
2019-12-23 23:59:53,57.0,50.5,25.0
2019-12-24 23:59:54,60.6,47.1,38.4
2019-12-25 23:59:54,58.5,47.5,36.5
2019-12-26 23:59:54,54.0,44.6,21.6
2019-12-27 23:59:54,62.1,50.5,39.3
2019-12-28 23:59:54,61.5,46.6,36.1
2019-12-29 23:59:55,60.4,47.3,17.9
2019-12-30 23:59:55,62.6,52.3,18.7
2019-12-31 23:59:54,71.2,53.6,42.1
